,video_name,video_year,video_link,name,artist,album,img,duration,tags,missing
17,"Supreme - ""BLESSED""",2018,https://www.skatevideosite.com/videos/supreme-blessed,Nuclear War (The Day After),Nuclear Devastation,,,,,True
18,"Supreme - ""BLESSED""",2018,https://www.skatevideosite.com/videos/supreme-blessed,Thème De Yoyo,Various Artists,100 Best Of Blue Note,,0,jazz||free jazz||Avantgarde Jazz||gimme sum friends||gimme sum friends03,True
99,"Supreme - ""BLESSED""",2018,https://www.skatevideosite.com/videos/supreme-blessed,Nuclear War (The Day After),Nuclear Devastation,,,,,True
101,"Supreme - ""BLESSED""",2018,https://www.skatevideosite.com/videos/supreme-blessed,I'm Goin' Down,Mary J. Blige,My Life,https://lastfm.freetls.fastly.net/i/u/34s/8e11a2d5c276fe38ec650888632e18f1.png,221000,soul||rnb||mary j blige||female vocalists||90s,False
102,"Supreme - ""BLESSED""",2018,https://www.skatevideosite.com/videos/supreme-blessed,Walking The Cow,Daniel Johnston,"Hi, How Are You",https://lastfm.freetls.fastly.net/i/u/34s/8214f336648343599c3530f140146ac5.png,216000,Lo-Fi||indie||folk||singer-songwriter||animals,False
20,"Supreme - ""BLESSED""",2018,https://www.skatevideosite.com/videos/supreme-blessed,Walking The Cow,Daniel Johnston,"Hi, How Are You",https://lastfm.freetls.fastly.net/i/u/34s/8214f336648343599c3530f140146ac5.png,216000,Lo-Fi||indie||folk||singer-songwriter||animals,False
100,"Supreme - ""BLESSED""",2018,https://www.skatevideosite.com/videos/supreme-blessed,Thème De Yoyo,Various Artists,100 Best Of Blue Note,,0,jazz||free jazz||Avantgarde Jazz||gimme sum friends||gimme sum friends03,True
103,Supreme - Candyland,2019,https://www.skatevideosite.com/videos/supreme-candyland,Buck Em Down,Black Moon,Enta Da Stage,https://lastfm.freetls.fastly.net/i/u/34s/6cddcfbab50e16a9f71690a8784cb4e0.png,291000,Hip-Hop||hip hop||black moon||rap||Dope,False
104,Supreme - Candyland,2019,https://www.skatevideosite.com/videos/supreme-candyland,In Our Angelhood,Cocteau Twins,Head Over Heels,https://lastfm.freetls.fastly.net/i/u/34s/59a88d33543c40939590b76bcf721c83.png,179000,post-punk||shoegaze||dream pop||ethereal||4ad,False
105,Supreme - Candyland,2019,https://www.skatevideosite.com/videos/supreme-candyland,Wopbabalubop,Funkdoobiest,Which Doobie U B?,https://lastfm.freetls.fastly.net/i/u/34s/a671263b0b814582c59a0f39f9725946.png,223000,Hip-Hop||rap||1993||hip hop||90s,False
107,Supreme - Candyland,2019,https://www.skatevideosite.com/videos/supreme-candyland,Just One Fix,Ministry,Greatest Fits,https://lastfm.freetls.fastly.net/i/u/34s/b33c41c2866b7deabb88ae2ff0f63977.png,310000,industrial metal||industrial||metal||industrial rock||ministry,False
108,Supreme - Candyland,2019,https://www.skatevideosite.com/videos/supreme-candyland,The Crying Game,Brenda Lee,In the Mood for Love,https://lastfm.freetls.fastly.net/i/u/34s/7e96d37d28c94afceb7b6932d02b7a49.png,158000,female vocalists||oldies||Brenda Lee||dave berry cover||dette er trist,False
109,Supreme - Candyland,2019,https://www.skatevideosite.com/videos/supreme-candyland,keeping the wolves from the door,White Magic,Through The Sun Door,https://lastfm.freetls.fastly.net/i/u/34s/a39d40c4018a063b06c90d88b3cab278.png,191000,indie||folk||New Weird America||new weird folk||singer-songwriter,False
27,Supreme - Candyland,2019,https://www.skatevideosite.com/videos/supreme-candyland,keeping the wolves from the door,White Magic,Through The Sun Door,https://lastfm.freetls.fastly.net/i/u/34s/a39d40c4018a063b06c90d88b3cab278.png,191000,indie||folk||New Weird America||new weird folk||singer-songwriter,False
106,Supreme - Candyland,2019,https://www.skatevideosite.com/videos/supreme-candyland,Roseblood,Mazzy Star,Among My Swan,https://lastfm.freetls.fastly.net/i/u/34s/07eced09ad9a5cb9443e6c56b0273a2b.png,291000,dream pop||alternative||female vocalists||shoegaze||Mellow,False
21,Supreme - Candyland,2019,https://www.skatevideosite.com/videos/supreme-candyland,Buck Em Down,Black Moon,Enta Da Stage,https://lastfm.freetls.fastly.net/i/u/34s/6cddcfbab50e16a9f71690a8784cb4e0.png,291000,Hip-Hop||hip hop||black moon||rap||Dope,False
22,Supreme - Candyland,2019,https://www.skatevideosite.com/videos/supreme-candyland,In Our Angelhood,Cocteau Twins,Head Over Heels,https://lastfm.freetls.fastly.net/i/u/34s/59a88d33543c40939590b76bcf721c83.png,179000,post-punk||shoegaze||dream pop||ethereal||4ad,False
23,Supreme - Candyland,2019,https://www.skatevideosite.com/videos/supreme-candyland,Wopbabalubop,Funkdoobiest,Which Doobie U B?,https://lastfm.freetls.fastly.net/i/u/34s/a671263b0b814582c59a0f39f9725946.png,223000,Hip-Hop||rap||1993||hip hop||90s,False
24,Supreme - Candyland,2019,https://www.skatevideosite.com/videos/supreme-candyland,Roseblood,Mazzy Star,Among My Swan,https://lastfm.freetls.fastly.net/i/u/34s/07eced09ad9a5cb9443e6c56b0273a2b.png,291000,dream pop||alternative||female vocalists||shoegaze||Mellow,False
25,Supreme - Candyland,2019,https://www.skatevideosite.com/videos/supreme-candyland,Just One Fix,Ministry,Greatest Fits,https://lastfm.freetls.fastly.net/i/u/34s/b33c41c2866b7deabb88ae2ff0f63977.png,310000,industrial metal||industrial||metal||industrial rock||ministry,False
26,Supreme - Candyland,2019,https://www.skatevideosite.com/videos/supreme-candyland,The Crying Game,Brenda Lee,In the Mood for Love,https://lastfm.freetls.fastly.net/i/u/34s/7e96d37d28c94afceb7b6932d02b7a49.png,158000,female vocalists||oldies||Brenda Lee||dave berry cover||dette er trist,False
118,Supreme - Mind Goblin,2021,https://www.skatevideosite.com/videos/supreme-mind-goblin,Sister Christian,Night Ranger,Midnight Madness,https://lastfm.freetls.fastly.net/i/u/34s/7e61169ba5279ac9d498b17ffcf317c7.png,244000,80s||rock||classic rock||Power ballad||Night Ranger,False
112,Supreme - Stallion,2021,https://www.skatevideosite.com/videos/supreme-stallion,Name Tag (Premier & The Guru),Gang Starr,Step in the Arena,https://lastfm.freetls.fastly.net/i/u/34s/54dd4f556a8b592d7326a798e4f8edba.png,36000,east coast hip hop||hip hop||Hip-Hop||rap||trip-hop,False
113,Supreme - Stallion,2021,https://www.skatevideosite.com/videos/supreme-stallion,The Revolutionaries,Kunta Kinte Dub,,,,,True
114,Supreme - Stallion,2021,https://www.skatevideosite.com/videos/supreme-stallion,"Lonnie Liston Smith, The Cosmic Echoes",Inner Beauty,,,,,True
111,Supreme - Stallion,2021,https://www.skatevideosite.com/videos/supreme-stallion,Dominoes,Lord Finesse,Diggin' on Blue,https://lastfm.freetls.fastly.net/i/u/34s/922683c0a8ed9036fdab5aa38994688f.png,273000,jazz||funk||jazz funk||soul||trumpet,False
115,Supreme - Stallion,2021,https://www.skatevideosite.com/videos/supreme-stallion,Vienna,Ultravox,Vienna,https://lastfm.freetls.fastly.net/i/u/34s/f0628a45aa0467eabc4cd117f1086df7.png,278000,80s||new wave||synthpop||new romantic||pop,False
117,Supreme - Stallion,2021,https://www.skatevideosite.com/videos/supreme-stallion,King of NY,22Gz,The Blixky Tape,https://lastfm.freetls.fastly.net/i/u/34s/3d8dfc27b2a68987f14066b9542ef226.png,173000,,True
36,Supreme - Mind Goblin,2021,https://www.skatevideosite.com/videos/supreme-mind-goblin,Sister Christian,Night Ranger,Midnight Madness,https://lastfm.freetls.fastly.net/i/u/34s/7e61169ba5279ac9d498b17ffcf317c7.png,244000,80s||rock||classic rock||Power ballad||Night Ranger,False
35,Supreme - Stallion,2021,https://www.skatevideosite.com/videos/supreme-stallion,King of NY,22Gz,The Blixky Tape,https://lastfm.freetls.fastly.net/i/u/34s/3d8dfc27b2a68987f14066b9542ef226.png,173000,,True
